,0,1
538,3_chicken_wings_near,chicken_wings_near
339,3_chinese_far,chinese_far
338,3_chinese_near,chinese_near
1109,3_chiropractors_far,chiropractors_far
1108,3_chiropractors_near,chiropractors_near
1309,3_cocktailbars_far,cocktailbars_far
1308,3_cocktailbars_near,cocktailbars_near
139,3_coffee_far,coffee_far
138,3_coffee_near,coffee_near
459,3_contractors_far,contractors_far
458,3_contractors_near,contractors_near
849,3_convenience_far,convenience_far
848,3_convenience_near,convenience_near
1349,3_copyshops_far,copyshops_far
1348,3_copyshops_near,copyshops_near
719,3_cosmeticdentists_far,cosmeticdentists_far
718,3_cosmeticdentists_near,cosmeticdentists_near
709,3_cosmetics_far,cosmetics_far
708,3_cosmetics_near,cosmetics_near
799,3_delis_far,delis_far
798,3_delis_near,delis_near
389,3_dentists_far,dentists_far
388,3_dentists_near,dentists_near
939,3_deptstores_far,deptstores_far
938,3_deptstores_near,deptstores_near
439,3_desserts_far,desserts_far
438,3_desserts_near,desserts_near
1099,3_diners_far,diners_far
1098,3_diners_near,diners_near
919,3_drugstores_far,drugstores_far
918,3_drugstores_near,drugstores_near
1069,3_dryclean_far,dryclean_far
1068,3_dryclean_near,dryclean_near
429,3_education_far,education_far
428,3_education_near,education_near
979,3_electronics_far,electronics_far
978,3_electronics_near,electronics_near
1139,3_eventplanning_far,eventplanning_far
1138,3_eventplanning_near,eventplanning_near
109,3_eventservices_far,eventservices_far
108,3_eventservices_near,eventservices_near
859,3_eyelashservice_far,eyelashservice_far
858,3_eyelashservice_near,eyelashservice_near
129,3_fashion_far,fashion_far
128,3_fashion_near,fashion_near
449,3_financialservices_far,financialservices_far
448,3_financialservices_near,financialservices_near
299,3_fitness_far,fitness_far
298,3_fitness_near,fitness_near
1359,3_florists_far,florists_far
1358,3_florists_near,florists_near
639,3_flowers_far,flowers_far
638,3_flowers_near,flowers_near
29,3_food_far,food_far
28,3_food_near,food_near
1459,3_french_far,french_far
1458,3_french_near,french_near
809,3_furniture_far,furniture_far
808,3_furniture_near,furniture_near
489,3_generaldentistry_far,generaldentistry_far
488,3_generaldentistry_near,generaldentistry_near
329,3_gourmet_far,gourmet_far
328,3_gourmet_near,gourmet_near
1389,3_greek_far,greek_far
1388,3_greek_near,greek_near
399,3_grocery_far,grocery_far
398,3_grocery_near,grocery_near
999,3_groomer_far,groomer_far
998,3_groomer_near,groomer_near
599,3_gyms_far,gyms_far
598,3_gyms_near,gyms_near
1439,3_hair_extensions_far,hair_extensions_far
1438,3_hair_extensions_near,hair_extensions_near
159,3_hair_far,hair_far
158,3_hair_near,hair_near
369,3_hairremoval_far,hairremoval_far
368,3_hairremoval_near,hairremoval_near
729,3_hairstylists_far,hairstylists_far
728,3_hairstylists_near,hairstylists_near
59,3_health_far,health_far
58,3_health_near,health_near
789,3_healthtrainers_far,healthtrainers_far
788,3_healthtrainers_near,healthtrainers_near
199,3_homeandgarden_far,homeandgarden_far
198,3_homeandgarden_near,homeandgarden_near
1229,3_homecleaning_far,homecleaning_far
1228,3_homecleaning_near,homecleaning_near
769,3_homedecor_far,homedecor_far
768,3_homedecor_near,homedecor_near
49,3_homeservices_far,homeservices_far
48,3_homeservices_near,homeservices_near
169,3_hotdogs_far,hotdogs_far
168,3_hotdogs_near,hotdogs_near
519,3_hotels_far,hotels_far
518,3_hotels_near,hotels_near
219,3_hotelstravel_far,hotelstravel_far
218,3_hotelstravel_near,hotelstravel_near
969,3_hvac_far,hvac_far
968,3_hvac_near,hvac_near
509,3_icecream_far,icecream_far
508,3_icecream_near,icecream_near
1049,3_indpak_far,indpak_far
1048,3_indpak_near,indpak_near
309,3_italian_far,italian_far
308,3_italian_near,italian_near
1009,3_itservices_far,itservices_far
1008,3_itservices_near,itservices_near
529,3_japanese_far,japanese_far
528,3_japanese_near,japanese_near
899,3_jewelry_far,jewelry_far
898,3_jewelry_near,jewelry_near
949,3_juicebars_far,juicebars_far
948,3_juicebars_near,juicebars_near
1289,3_landscaping_far,landscaping_far
1288,3_landscaping_near,landscaping_near
1079,3_laundryservices_far,laundryservices_far
1078,3_laundryservices_near,laundryservices_near
1449,3_lawyers_far,lawyers_far
1448,3_lawyers_near,lawyers_near
69,3_localservices_far,localservices_far
68,3_localservices_near,localservices_near
989,3_lounges_far,lounges_far
988,3_lounges_near,lounges_near
1239,3_makeupartists_far,makeupartists_far
1238,3_makeupartists_near,makeupartists_near
499,3_massage_far,massage_far
498,3_massage_near,massage_near
889,3_massage_therapy_far,massage_therapy_far
888,3_massage_therapy_near,massage_therapy_near
929,3_medcenters_far,medcenters_far
928,3_medcenters_near,medcenters_near
1119,3_media_far,media_far
1118,3_media_near,media_near
1269,3_medicalspa_far,medicalspa_far
1268,3_medicalspa_near,medicalspa_near
839,3_mediterranean_far,mediterranean_far
838,3_mediterranean_near,mediterranean_near
869,3_menscloth_far,menscloth_far
868,3_menscloth_near,menscloth_near
319,3_mexican_far,mexican_far
318,3_mexican_near,mexican_near
1259,3_mideastern_far,mideastern_far
1258,3_mideastern_near,mideastern_near
1249,3_mobilephones_far,mobilephones_far
1248,3_mobilephones_near,mobilephones_near
1369,3_movers_far,movers_far
1368,3_movers_near,movers_near
349,3_newamerican_far,newamerican_far
348,3_newamerican_near,newamerican_near
819,3_newcanadian_far,newcanadian_far
818,3_newcanadian_near,newcanadian_near
89,3_nightlife_far,nightlife_far
88,3_nightlife_near,nightlife_near
669,3_oilchange_far,oilchange_far
668,3_oilchange_near,oilchange_near
1339,3_opticians_far,opticians_far
1338,3_opticians_near,opticians_near
1189,3_optometrists_far,optometrists_far
1188,3_optometrists_near,optometrists_near
289,3_othersalons_far,othersalons_far
288,3_othersalons_near,othersalons_near
